FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160201;0000;;;0,0763097;
160202;0000;;;0,161685;
160203;0000;;;0,369947;
160204;0000;;;0,31645;
160205;0000;;;0,33614;
160206;0000;;;0,372378;
160207;0000;;;0,362702;
160208;0000;;;0,343271;
160209;0000;;;0,350317;
160210;0000;;;0,364986;
160211;0000;;;0,378764;
160212;0000;;;0,340314;
160213;0000;;;0,369809;
160214;0000;;;0,359174;
160215;0000;;;0,348557;
160216;0000;;;0,339652;
160217;0000;;;0,379823;
160218;0000;;;0,37145;
160219;0000;;;0,397099;
160220;0000;;;0,412624;
160221;0000;;;0,401379;
160222;0000;;;0,352625;
160223;0000;;;0,385841;
160224;0000;;;0,354198;
160225;0000;;;0,263686;
160226;0000;;;0,248945;
160227;0000;;;0,284478;
160228;0000;;;0,292683;
160229;0000;;;0,242187;
160301;0000;;;0,289314;
160302;0000;;;0,331271;
160303;0000;;;0,317782;
160304;0000;;;0,338973;
160305;0000;;;0,342229;
160306;0000;;;0,315461;
160307;0000;;;0,299678;
160308;0000;;;0,336434;
160309;0000;;;0,348356;
160310;0000;;;0,293916;
160311;0000;;;0,32547;
160312;0000;;;0,317391;
160313;0000;;;0,333199;
160314;0000;;;0,314026;
160315;0000;;;0,34689;
160316;0000;;;0,403359;
160317;0000;;;0,364689;
160318;0000;;;0,360709;
160319;0000;;;0,354947;
160320;0000;;;0,351033;
160321;0000;;;0,351891;
160322;0000;;;0,418013;
160323;0000;;;0,436897;
160324;0000;;;0,405855;
160325;0000;;;0,446958;
160326;0000;;;0,469079;
160327;0000;;;0,424904;
160328;0000;;;0,380312;
160329;0000;;;0,403282;
160330;0000;;;0,367386;
160331;0000;;;0,355997;
160401;0000;;;0,400036;
160402;0000;;;0,324192;
160403;0000;;;0,287802;
160404;0000;;;0,309588;
160405;0000;;;0,376818;
160406;0000;;;0,334956;
160407;0000;;;0,303064;
160408;0000;;;0,280231;
160409;0000;;;0,2632;
160410;0000;;;0,341588;
160411;0000;;;0,343611;
160412;0000;;;0,318494;
160413;0000;;;0,327896;
160414;0000;;;0,297827;
160415;0000;;;0,322508;
160416;0000;;;0,31705;
160417;0000;;;0,339777;
160418;0000;;;0,298242;
160419;0000;;;0,259729;
160420;0000;;;0,276191;
160421;0000;;;0,294156;
160422;0000;;;0,296698;
160423;0000;;;0,266312;
160424;0000;;;0,247844;
160425;0000;;;0,221052;
160426;0000;;;0,27508;
160427;0000;;;0,372222;
160428;0000;;;0,40238;
160429;0000;;;0,404386;
160430;0000;;;0,508123;
160501;0000;;;0,496443;
160502;0000;;;0,458446;
160503;0000;;;0,456419;
160504;0000;;;0,400899;
160505;0000;;;0,381011;
160506;0000;;;0,361312;
160507;0000;;;0,354871;
160508;0000;;;0,352402;
160509;0000;;;0,333399;
160510;0000;;;0,320823;
160511;0000;;;0,264026;
160512;0000;;;0,329516;
160513;0000;;;0,363097;
160514;0000;;;0,274139;
160515;0000;;;0,241341;
