FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
241210;0000;7,32;;;
241211;0000;4,26;;;
241212;0000;2,46;;;
241213;0000;2,6;;;
241214;0000;2,89;;;
241215;0000;5,31;;;
241216;0000;2,3;;;
241217;0000;3,07;;;
241218;0000;2,61;;;
241219;0000;3,56;;;
241220;0000;2,05;;;
241221;0000;3,06;;;
241222;0000;2,71;;;
241223;0000;2,83;;;
241224;0000;2,98;;;
241225;0000;2,57;;;
241226;0000;2,28;;;
241227;0000;2,93;;;
241228;0000;4,83;;;
241229;0000;3,21;;;
241230;0000;2,98;;;
241231;0000;2,03;;;
250101;0000;1,76;;;
250102;0000;2,51;;;
250103;0000;4,25;;;
250104;0000;2,22;;;
250105;0000;4,04;;;
250106;0000;4,8;;;
250107;0000;3,26;;;
250108;0000;3,3;;;
250109;0000;3,09;;;
250110;0000;3,29;;;
250111;0000;3,17;;;
250112;0000;3,98;;;
250113;0000;2,28;;;
250114;0000;2,98;;;
250115;0000;2,56;;;
250116;0000;2,55;;;
250117;0000;3,01;;;
250118;0000;2,22;;;
250119;0000;2,17;;;
250120;0000;4,23;;;
250121;0000;2,64;;;
250122;0000;3,07;;;
250123;0000;2,26;;;
250124;0000;1,99;;;
250125;0000;3,77;;;
250126;0000;2,24;;;
250127;0000;2,03;;;
250128;0000;3,14;;;
250129;0000;3,38;;;
250130;0000;3,13;;;
250131;0000;2,61;;;
250201;0000;3,43;;;
250202;0000;2,23;;;
250203;0000;1,79;;;
250204;0000;1,95;;;
250205;0000;2,94;;;
250206;0000;2,64;;;
250207;0000;2,82;;;
250208;0000;3,48;;;
250209;0000;2,1;;;
250210;0000;3,49;;;
250211;0000;3,45;;;
250212;0000;3,5;;;
250213;0000;3,04;;;
250214;0000;3,47;;;
250215;0000;4,36;;;
250216;0000;1,99;;;
250217;0000;3,64;;;
250218;0000;3,48;;;
250219;0000;1,12;;;
250220;0000;2,32;;;
250221;0000;4,66;;;
250222;0000;3,39;;;
250223;0000;2,35;;;
250224;0000;2,44;;;
250225;0000;;;;
250226;0000;2,2;;;
250227;0000;4,73;;;
250228;0000;2,5;;;
250301;0000;2,27;;;
250302;0000;2,02;;;
250303;0000;2,04;;;
250304;0000;4,1;;;
250305;0000;3,05;;;
250306;0000;1,31;;;
250307;0000;3,01;;;
250308;0000;2,83;;;
250309;0000;3,37;;;
250310;0000;6,11;;;
250311;0000;5,03;;;
250312;0000;9,08;;;
250313;0000;8,23;;;
250314;0000;6,76;;;
250315;0000;3,22;;;
250316;0000;3,13;;;
250317;0000;4,75;;;
250318;0000;4,66;;;
250319;0000;7,12;;;
250320;0000;6,49;;;
250321;0000;5,28;;;
250322;0000;6,27;;;
250323;0000;2,76;;;
250324;0000;6,64;;;
250325;0000;4,67;;;
250326;0000;3,13;;;
250327;0000;5,48;;;
250328;0000;3,46;;;
250329;0000;2,48;;;
250330;0000;2,01;;;
250331;0000;4,33;;;
250401;0000;5,45;;;
250402;0000;4,16;;;
250403;0000;3,3;;;
250404;0000;4,28;;;
250405;0000;1,76;;;
250406;0000;2,89;;;
250407;0000;4,47;;;
250408;0000;7,46;;;
250409;0000;5,6;;;
250410;0000;2,91;;;
250411;0000;3,63;;;
250412;0000;3,35;;;
250413;0000;3,37;;;
250414;0000;4,58;;;
250415;0000;3,68;;;
250416;0000;6,45;;;
250417;0000;2,82;;;
250418;0000;3,79;;;
250419;0000;4,97;;;
250420;0000;6,1;;;
250421;0000;5,77;;;
250422;0000;4,65;;;
250423;0000;5,26;;;
250424;0000;2,3;;;
250425;0000;4,1;;;
250426;0000;3,6;;;
250427;0000;1,37;;;
250428;0000;4,49;;;
250429;0000;6,06;;;
250430;0000;2,56;;;
250501;0000;3,93;;;
250502;0000;4,08;;;
250503;0000;6,12;;;
250504;0000;2,64;;;
250505;0000;5,52;;;
250506;0000;4,27;;;
250507;0000;6;;;
250508;0000;2,02;;;
250509;0000;4,63;;;
250510;0000;5,65;;;
250511;0000;5,29;;;
250512;0000;8,12;;;
250513;0000;8,55;;;
250514;0000;5,82;;;
250515;0000;4,5;;;
250516;0000;3,88;;;
250517;0000;3,47;;;
250518;0000;6;;;
250519;0000;4,12;;;
250520;0000;6,44;;;
250521;0000;4,73;;;
250522;0000;6,61;;;
250523;0000;7,01;;;
250524;0000;5,63;;;
250525;0000;3,03;;;
250526;0000;6,04;;;
250527;0000;5,95;;;
250528;0000;5,11;;;
250529;0000;7,98;;;
250530;0000;5,34;;;
250531;0000;4,01;;;
250601;0000;7,47;;;
250602;0000;10,21;;;
250603;0000;10,71;;;
250604;0000;5,95;;;
250605;0000;6,02;;;
250606;0000;5,57;;;
250607;0000;5,41;;;
250608;0000;5,27;;;
250609;0000;7,86;;;
250610;0000;6,73;;;
250611;0000;2,92;;;
250612;0000;8,2;;;
250613;0000;5,62;;;
250614;0000;2,8;;;
250615;0000;3,89;;;
250616;0000;6,89;;;
250617;0000;6,93;;;
250618;0000;6,51;;;
250619;0000;6,4;;;
250620;0000;6,39;;;
250621;0000;6,19;;;
250622;0000;5,22;;;
250623;0000;7,28;;;
250624;0000;8,49;;;
250625;0000;7,19;;;
250626;0000;6,93;;;
250627;0000;8,31;;;
250628;0000;6,5;;;
250629;0000;3,16;;;
