FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
241210;0000;25;;;
241211;0000;22;;;
241212;0000;20;;;
241213;0000;23;;;
241214;0000;28;;;
241215;0000;42;;;
241216;0000;23;;;
241217;0000;28;;;
241218;0000;27;;;
241219;0000;30;;;
241220;0000;18;;;
241221;0000;22;;;
241222;0000;27;;;
241223;0000;25;;;
241224;0000;29;;;
241225;0000;34;;;
241226;0000;15;;;
241227;0000;24;;;
241228;0000;27;;;
241229;0000;40;;;
241230;0000;23;;;
241231;0000;24;;;
250101;0000;20;;;
250102;0000;25;;;
250103;0000;34;;;
250104;0000;15;;;
250105;0000;30;;;
250106;0000;29;;;
250107;0000;27;;;
250108;0000;24;;;
250109;0000;39;;;
250110;0000;40;;;
250111;0000;29;;;
250112;0000;24;;;
250113;0000;28;;;
250114;0000;30;;;
250115;0000;10;;;
250116;0000;17;;;
250117;0000;19;;;
250118;0000;19;;;
250119;0000;20;;;
250120;0000;27;;;
250121;0000;19;;;
250122;0000;21;;;
250123;0000;18;;;
250124;0000;23;;;
250125;0000;24;;;
250126;0000;15;;;
250127;0000;22;;;
250128;0000;31;;;
250129;0000;30;;;
250130;0000;25;;;
250131;0000;20;;;
250201;0000;27;;;
250202;0000;11;;;
250203;0000;18;;;
250204;0000;23;;;
250205;0000;15;;;
250206;0000;29;;;
250207;0000;39;;;
250208;0000;45;;;
250209;0000;45;;;
250210;0000;50;;;
250211;0000;60;;;
250212;0000;53;;;
250213;0000;40;;;
250214;0000;28;;;
250215;0000;34;;;
250216;0000;26;;;
250217;0000;30;;;
250218;0000;46;;;
250219;0000;27;;;
250220;0000;13;;;
250221;0000;24;;;
250222;0000;18;;;
250223;0000;13;;;
250224;0000;24;;;
250225;0000;;;;
250226;0000;30;;;
250227;0000;23;;;
250228;0000;3;;;
250301;0000;8;;;
250302;0000;9;;;
250303;0000;15;;;
250304;0000;17;;;
250305;0000;14;;;
250306;0000;10;;;
250307;0000;10;;;
250308;0000;15;;;
250309;0000;17;;;
250310;0000;18;;;
250311;0000;24;;;
250312;0000;34;;;
250313;0000;37;;;
250314;0000;36;;;
250315;0000;23;;;
250316;0000;25;;;
250317;0000;26;;;
250318;0000;25;;;
250319;0000;34;;;
250320;0000;22;;;
250321;0000;15;;;
250322;0000;25;;;
250323;0000;62;;;
250324;0000;96;;;
250325;0000;54;;;
250326;0000;46;;;
250327;0000;25;;;
250328;0000;16;;;
250329;0000;7;;;
250330;0000;17;;;
250331;0000;15;;;
250401;0000;14;;;
250402;0000;11;;;
250403;0000;13;;;
250404;0000;19;;;
250405;0000;21;;;
250406;0000;20;;;
250407;0000;29;;;
250408;0000;37;;;
250409;0000;24;;;
250410;0000;15;;;
250411;0000;15;;;
250412;0000;20;;;
250413;0000;23;;;
250414;0000;15;;;
250415;0000;19;;;
250416;0000;23;;;
250417;0000;15;;;
250418;0000;19;;;
250419;0000;38;;;
250420;0000;37;;;
250421;0000;17;;;
250422;0000;8;;;
250423;0000;14;;;
250424;0000;;;10;
250425;0000;;;14;
250426;0000;38;;;
250427;0000;24;;;
250428;0000;34;;;
250429;0000;71;;;
250430;0000;28;;;
250501;0000;44;;;
250502;0000;37;;;
250503;0000;43;;;
250504;0000;24;;;
250505;0000;50;;;
250506;0000;39;;;
250507;0000;39;;;
250508;0000;19;;;
250509;0000;24;;;
250510;0000;45;;;
250511;0000;24;;;
250512;0000;51;;;
250513;0000;40;;;
250514;0000;31;;;
250515;0000;42;;;
250516;0000;14;;;
250517;0000;38;;;
250518;0000;70;;;
250519;0000;30;;;
250520;0000;32;;;
250521;0000;37;;;
250522;0000;48;;;
250523;0000;55;;;
250524;0000;50;;;
250525;0000;22;;;
250526;0000;36;;;
250527;0000;37;;;
250528;0000;25;;;
250529;0000;59;;;
250530;0000;32;;;
250531;0000;25;;;
250601;0000;60;;;
250602;0000;71;;;
250603;0000;85;;;
250604;0000;54;;;
250605;0000;60;;;
250606;0000;35;;;
250607;0000;62;;;
250608;0000;49;;;
250609;0000;60;;;
250610;0000;;;40;
250611;0000;;;;
250612;0000;27;;;
250613;0000;35;;;
250614;0000;21;;;
250615;0000;37;;;
250616;0000;31;;;
250617;0000;40;;;
250618;0000;51;;;
250619;0000;45;;;
250620;0000;36;;;
250621;0000;22;;;
250622;0000;57;;;
250623;0000;51;;;
250624;0000;45;;;
250625;0000;49;;;
250626;0000;44;;;
250627;0000;60;;;
250628;0000;42;;;
250629;0000;24;;;
250630;0000;30;;;
250701;0000;52;;;
250702;0000;64;;;
250703;0000;65;;;
250704;0000;74;;;
250705;0000;36;;;
250706;0000;16;;;
250707;0000;39;;;
250708;0000;39;;;
250709;0000;68;;;
250710;0000;55;;;
250711;0000;44;;;
250712;0000;32;;;
250713;0000;26;;;
250714;0000;34;;;
250715;0000;35;;;
250716;0000;32;;;
250717;0000;39;;;
250718;0000;31;;;
250719;0000;49;;;
250720;0000;50;;;
250721;0000;34;;;
250722;0000;24;;;
250723;0000;31;;;
250724;0000;19;;;
250725;0000;18;;;
250726;0000;22;;;
250727;0000;9;;;
250728;0000;28;;;
250729;0000;23;;;
250730;0000;6;;;
250731;0000;14;;;
250801;0000;15;;;
250802;0000;26;;;
250803;0000;42;;;
250804;0000;31;;;
250805;0000;46;;;
250806;0000;38;;;
250807;0000;29;;;
250808;0000;23;;;
250809;0000;27;;;
250810;0000;27;;;
250811;0000;26;;;
250812;0000;16;;;
250813;0000;20;;;
250814;0000;21;;;
250815;0000;25;;;
250816;0000;23;;;
250817;0000;26;;;
250818;0000;23;;;
250819;0000;26;;;
250820;0000;6;;;
250821;0000;11;;;
250822;0000;18;;;
250823;0000;16;;;
250824;0000;34;;;
250825;0000;15;;;
250826;0000;17;;;
250827;0000;19;;;
250828;0000;13;;;
250829;0000;30;;;
250830;0000;35;;;
250831;0000;27;;;
250901;0000;14;;;
250902;0000;18;;;
250903;0000;17;;;
250904;0000;30;;;
250905;0000;28;;;
250906;0000;23;;;
250907;0000;19;;;
250908;0000;14;;;
250909;0000;6;;;
250910;0000;50;;;
250911;0000;28;;;
250912;0000;29;;;
250913;0000;13;;;
250914;0000;17;;;
250915;0000;19;;;
250916;0000;18;;;
250917;0000;16;;;
250918;0000;10;;;
250919;0000;7;;;
250920;0000;13;;;
250921;0000;18;;;
250922;0000;13;;;
250923;0000;15;;;
250924;0000;14;;;
250925;0000;12;;;
250926;0000;13;;;
250927;0000;12;;;
250928;0000;16;;;
250929;0000;21;;;
250930;0000;15;;;
251001;0000;;20;;
251002;0000;;18;;
251003;0000;;9;;
251004;0000;;7;;
251005;0000;;9;;
251006;0000;;16;;
251007;0000;;15;;
251008;0000;;14;;
251009;0000;;19;;
251010;0000;;12;;
251011;0000;;10;;
251012;0000;;11;;
251013;0000;;14;;
251014;0000;;8;;
251015;0000;;8;;
251016;0000;;19;;
251017;0000;;22;;
251018;0000;;22;;
251019;0000;;14;;
251020;0000;;7;;
251021;0000;;15;;
251022;0000;;12;;
251023;0000;;9;;
251024;0000;;14;;
251025;0000;;8;;
251026;0000;;6;;
251027;0000;;16;;
251028;0000;;17;;
251029;0000;;21;;
251030;0000;;19;;
251031;0000;;8;;
251101;0000;;;;
251102;0000;;;;
251103;0000;;;;
251104;0000;;11;;
251105;0000;;22;;
251106;0000;;26;;
251107;0000;;21;;
251108;0000;;19;;
251109;0000;;;;
251110;0000;;;;
251111;0000;;4;;
251112;0000;;14;;
251113;0000;;20;;
251114;0000;;27;;
251115;0000;;15;;
251116;0000;;10;;
