FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
241210;0000;6;;;
241211;0000;3;;;
241212;0000;4;;;
241213;0000;4;;;
241214;0000;8;;;
241215;0000;11;;;
241216;0000;4;;;
241217;0000;6;;;
241218;0000;5;;;
241219;0000;4;;;
241220;0000;2;;;
241221;0000;4;;;
241222;0000;6;;;
241223;0000;5;;;
241224;0000;4;;;
241225;0000;10;;;
241226;0000;2;;;
241227;0000;8;;;
241228;0000;10;;;
241229;0000;11;;;
241230;0000;5;;;
241231;0000;5;;;
250101;0000;4;;;
250102;0000;5;;;
250103;0000;7;;;
250104;0000;6;;;
250105;0000;9;;;
250106;0000;8;;;
250107;0000;5;;;
250108;0000;4;;;
250109;0000;7;;;
250110;0000;7;;;
250111;0000;5;;;
250112;0000;6;;;
250113;0000;6;;;
250114;0000;6;;;
250115;0000;2;;;
250116;0000;5;;;
250117;0000;3;;;
250118;0000;4;;;
250119;0000;5;;;
250120;0000;9;;;
250121;0000;3;;;
250122;0000;3;;;
250123;0000;3;;;
250124;0000;4;;;
250125;0000;5;;;
250126;0000;4;;;
250127;0000;5;;;
250128;0000;9;;;
250129;0000;7;;;
250130;0000;4;;;
250131;0000;4;;;
250201;0000;9;;;
250202;0000;2;;;
250203;0000;4;;;
250204;0000;8;;;
250205;0000;4;;;
250206;0000;4;;;
250207;0000;11;;;
250208;0000;16;;;
250209;0000;11;;;
250210;0000;20;;;
250211;0000;34;;;
250212;0000;29;;;
250213;0000;14;;;
250214;0000;7;;;
250215;0000;7;;;
250216;0000;6;;;
250217;0000;4;;;
250218;0000;9;;;
250219;0000;7;;;
250220;0000;2;;;
250221;0000;3;;;
250222;0000;3;;;
250223;0000;2;;;
250224;0000;3;;;
250225;0000;;;5;
250226;0000;6;;;
250227;0000;4;;;
250228;0000;2;;;
250301;0000;2;;;
250302;0000;2;;;
250303;0000;2;;;
250304;0000;3;;;
250305;0000;3;;;
250306;0000;2;;;
250307;0000;2;;;
250308;0000;4;;;
250309;0000;3;;;
