FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
241210;0000;;9,8438;;
241211;0000;;5,34077;;
241212;0000;;3,75766;;
241213;0000;;3,66602;;
241214;0000;;3,91333;;
241215;0000;;8,2388;;
241216;0000;;3,22826;;
241217;0000;;4,11918;;
241218;0000;;3,85137;;
241219;0000;;6,34016;;
241220;0000;;3,59806;;
241221;0000;;4,71342;;
241222;0000;;3,94334;;
241223;0000;;4,41341;;
241224;0000;;3,87373;;
241225;0000;;3,48912;;
241226;0000;;3,48361;;
241227;0000;;5,46445;;
241228;0000;;6,87636;;
241229;0000;;4,761;;
241230;0000;;5,14975;;
241231;0000;;2,91671;;
250101;0000;2,79292;;;
250102;0000;4,07255;;;
250103;0000;6,10103;;;
250104;0000;3,3473;;;
250105;0000;5,44922;;;
250106;0000;7,08554;;;
250107;0000;6,76467;;;
250108;0000;5,12066;;;
250109;0000;4,32854;;;
250110;0000;4,62548;;;
250111;0000;4,43451;;;
250112;0000;5,88725;;;
250113;0000;3,56868;;;
250114;0000;4,97606;;;
250115;0000;4,00236;;;
250116;0000;4,94362;;;
250117;0000;4,89244;;;
250118;0000;3,69541;;;
250119;0000;3,14594;;;
250120;0000;7,83582;;;
250121;0000;4,08213;;;
250122;0000;6,33456;;;
250123;0000;3,64725;;;
250124;0000;3,37084;;;
250125;0000;6,26731;;;
250126;0000;3,43416;;;
250127;0000;3,09533;;;
250128;0000;4,6701;;;
250129;0000;4,68682;;;
250130;0000;6,22894;;;
250131;0000;4,23636;;;
250201;0000;5,75713;;;
250202;0000;3,31832;;;
250203;0000;3,03165;;;
250204;0000;3,28845;;;
250205;0000;4,58128;;;
250206;0000;3,69767;;;
250207;0000;4,08;;;
250208;0000;4,51541;;;
250209;0000;3,30518;;;
250210;0000;5,48416;;;
250211;0000;4,61194;;;
250212;0000;4,49415;;;
250213;0000;4,59655;;;
250214;0000;5,6048;;;
250215;0000;6,94429;;;
250216;0000;3,0055;;;
250217;0000;5,40937;;;
250218;0000;4,60907;;;
250219;0000;2,05721;;;
250220;0000;3,77507;;;
250221;0000;6,37938;;;
250222;0000;5,00668;;;
250223;0000;3,71251;;;
250224;0000;3,48648;;;
250225;0000;;;;
250226;0000;3,26853;;;
250227;0000;7,59484;;;
250228;0000;3,86739;;;
250301;0000;3,8543;;;
250302;0000;3,01111;;;
250303;0000;3,084;;;
250304;0000;7,91028;;;
250305;0000;5,11357;;;
250306;0000;2,24663;;;
250307;0000;4,62767;;;
250308;0000;4,58173;;;
250309;0000;4,91286;;;
250310;0000;12,1615;;;
250311;0000;6,77496;;;
250312;0000;14,335;;;
250313;0000;11,0718;;;
250314;0000;9,73718;;;
250315;0000;4,30044;;;
250316;0000;4,35115;;;
250317;0000;7,79998;;;
250318;0000;6,29426;;;
250319;0000;9,96519;;;
250320;0000;13,1143;;;
250321;0000;10,6139;;;
250322;0000;10,8654;;;
250323;0000;3,95802;;;
250324;0000;7,62379;;;
250325;0000;9,54683;;;
250326;0000;4,07318;;;
250327;0000;8,89494;;;
250328;0000;5,94483;;;
250329;0000;3,42775;;;
250330;0000;3,04983;;;
250331;0000;8,68358;;;
250401;0000;9,37973;;;
250402;0000;7,52387;;;
250403;0000;4,70689;;;
250404;0000;5,60308;;;
250405;0000;2,73819;;;
250406;0000;5,08956;;;
250407;0000;8,08723;;;
250408;0000;11,6205;;;
250409;0000;12,399;;;
250410;0000;4,43917;;;
250411;0000;6,02108;;;
250412;0000;6,71661;;;
250413;0000;5,20369;;;
250414;0000;5,56898;;;
250415;0000;6,1074;;;
250416;0000;8,47954;;;
250417;0000;4,3806;;;
250418;0000;5,48356;;;
250419;0000;9,71896;;;
