FECHA (YYMMDD);HORA (HHMM);Direccion Viento (grados);
241211;0100;89,1527;
241211;0200;83,637;
241211;0300;122,145;
241211;0400;141,257;
241211;0500;121,235;
241211;0600;143,276;
241211;0700;159,619;
241211;0800;163,562;
241211;0900;141,349;
241211;1000;139,127;
241211;1100;170,294;
241211;1200;196,657;
241211;1300;198,277;
241211;1400;208,845;
241211;1500;213,937;
241211;1600;214,694;
241211;1700;218,011;
241211;1800;214,973;
241211;1900;13,0999;
241211;2000;148,803;
241211;2100;129,2;
241211;2200;110,33;
241211;2300;102,657;
241212;0000;87,4484;
241212;0100;142,662;
241212;0200;93,1782;
241212;0300;59,8449;
241212;0400;101,83;
241212;0500;79,2469;
241212;0600;121,206;
241212;0700;219,641;
241212;0800;235,664;
241212;0900;284,377;
241212;1000;260,776;
241212;1100;266,274;
241212;1200;236,172;
241212;1300;216,525;
241212;1400;239,534;
241212;1500;229,321;
241212;1600;231,668;
241212;1700;228,008;
241212;1800;222,818;
241212;1900;236,877;
241212;2000;153,536;
241212;2100;143,665;
241212;2200;135,795;
241212;2300;87,1444;
241213;0000;85,2792;
241213;0100;134,898;
241213;0200;110,444;
241213;0300;121,228;
241213;0400;148,481;
241213;0500;148,058;
241213;0600;141,542;
241213;0700;165,533;
241213;0800;182,769;
241213;0900;193,131;
241213;1000;187,65;
241213;1100;203,66;
241213;1200;191,546;
241213;1300;194,535;
241213;1400;200,227;
241213;1500;204,566;
241213;1600;209,183;
241213;1700;205,859;
241213;1800;205,953;
241213;1900;234,286;
241213;2000;123,836;
241213;2100;112,988;
241213;2200;125,045;
241213;2300;154,98;
241214;0000;149,217;
241214;0100;159,35;
241214;0200;168,836;
241214;0300;156,063;
241214;0400;154,427;
241214;0500;150,886;
241214;0600;151,495;
241214;0700;168,566;
241214;0800;173,977;
241214;0900;184,913;
241214;1000;197,605;
241214;1100;208,325;
241214;1200;277,303;
241214;1300;190,658;
241214;1400;181,778;
241214;1500;191,885;
241214;1600;193,314;
241214;1700;201,253;
241214;1800;195,102;
241214;1900;161,733;
241214;2000;112,337;
241214;2100;118,83;
241214;2200;29,6302;
241214;2300;317,185;
241215;0000;19,2049;
241215;0100;0,04225;
241215;0200;71,5706;
241215;0300;70,099;
241215;0400;346,968;
241215;0500;340,725;
241215;0600;334,655;
241215;0700;325,523;
241215;0800;317,191;
241215;0900;332,148;
241215;1000;330,058;
241215;1100;330,359;
241215;1200;326,136;
241215;1300;326,829;
241215;1400;328,081;
241215;1500;329,304;
241215;1600;324,333;
241215;1700;322,277;
241215;1800;321,424;
241215;1900;317,569;
241215;2000;328,352;
241215;2100;333,358;
241215;2200;343,869;
241215;2300;343,97;
241216;0000;351,151;
241216;0100;349,177;
241216;0200;354,806;
241216;0300;10,7615;
241216;0400;249,379;
241216;0500;222,181;
241216;0600;275,422;
241216;0700;330,691;
241216;0800;288,009;
241216;0900;286,77;
241216;1000;304,996;
241216;1100;328,409;
241216;1200;334,397;
241216;1300;316,044;
241216;1400;265,179;
241216;1500;258,32;
241216;1600;255,078;
241216;1700;278,125;
241216;1800;268,849;
241216;1900;273,399;
241216;2000;297,624;
241216;2100;47,8349;
241216;2200;137,371;
241216;2300;167,689;
241217;0000;146,969;
241217;0100;111,644;
241217;0200;111,794;
241217;0300;109,675;
241217;0400;103,64;
241217;0500;101,342;
241217;0600;104,668;
241217;0700;147,733;
241217;0800;148,076;
241217;0900;192,609;
241217;1000;266,494;
241217;1100;256,973;
241217;1200;239,903;
241217;1300;227,443;
241217;1400;224,339;
241217;1500;218,213;
241217;1600;214,366;
241217;1700;211,955;
241217;1800;216,837;
241217;1900;208,3;
241217;2000;132,708;
241217;2100;125,773;
241217;2200;126,306;
241217;2300;136,659;
241218;0000;136,607;
241218;0100;123,849;
241218;0200;132,11;
241218;0300;146,848;
241218;0400;132,867;
241218;0500;127,59;
241218;0600;138,432;
241218;0700;157,75;
241218;0800;163,5;
241218;0900;193,3;
241218;1000;200,336;
241218;1100;205,194;
241218;1200;223,425;
241218;1300;214,778;
241218;1400;212,11;
241218;1500;208,844;
241218;1600;205,584;
241218;1700;206,134;
241218;1800;213,165;
241218;1900;149,173;
241218;2000;115,608;
241218;2100;108,84;
241218;2200;97,6381;
241218;2300;134,13;
241219;0000;145,825;
241219;0100;102,984;
241219;0200;68,6613;
241219;0300;19,6403;
241219;0400;64,5492;
241219;0500;64,938;
241219;0600;86,5938;
241219;0700;212,587;
241219;0800;241,242;
241219;0900;186,169;
241219;1000;175,549;
241219;1100;191,866;
241219;1200;200,31;
241219;1300;207,638;
241219;1400;216,252;
241219;1500;215,31;
241219;1600;215,521;
241219;1700;216,01;
241219;1800;213,225;
241219;1900;209,441;
241219;2000;195,22;
241219;2100;163,541;
241219;2200;142,946;
241219;2300;130,366;
241220;0000;134,791;
241220;0100;113,428;
241220;0200;102,084;
241220;0300;123,198;
241220;0400;122,916;
241220;0500;99,2305;
241220;0600;122,395;
241220;0700;147,827;
241220;0800;158,013;
241220;0900;194,221;
241220;1000;222,533;
241220;1100;208,152;
241220;1200;234,205;
241220;1300;223,202;
241220;1400;237,099;
241220;1500;232,644;
241220;1600;266,133;
241220;1700;201,105;
241220;1800;103,634;
241220;1900;122,459;
241220;2000;125,405;
241220;2100;94,6715;
241220;2200;99,8527;
241220;2300;108,954;
241221;0000;113,699;
241221;0100;118,967;
241221;0200;94,5768;
241221;0300;272,039;
241221;0400;103,209;
241221;0500;151,151;
241221;0600;154,522;
241221;0700;172,632;
241221;0800;161,754;
241221;0900;199,959;
241221;1000;204,365;
241221;1100;206,673;
241221;1200;205,131;
241221;1300;191,089;
241221;1400;195,293;
241221;1500;208,579;
241221;1600;218,046;
241221;1700;215,96;
241221;1800;213,104;
241221;1900;175,842;
241221;2000;149,246;
241221;2100;139,307;
241221;2200;120,096;
