FECHA (YYMMDD);HORA (HHMM);Humedad Relativa (%);
241211;0100;81,3525;
241211;0200;83,7;
241211;0300;90,15;
241211;0400;91,925;
241211;0500;91,3;
241211;0600;86,405;
241211;0700;74,0525;
241211;0800;55,525;
241211;0900;42,3025;
241211;1000;33,945;
241211;1100;31,325;
241211;1200;29,715;
241211;1300;31,675;
241211;1400;34,9425;
241211;1500;37,9075;
241211;1600;38,6975;
241211;1700;41,95;
241211;1800;43,725;
241211;1900;47,8825;
241211;2000;57,625;
241211;2100;65,4575;
241211;2200;68,22;
241211;2300;72,3975;
241212;0000;75,2325;
241212;0100;84,4775;
241212;0200;85,95;
241212;0300;87,5;
241212;0400;88,325;
241212;0500;89,975;
241212;0600;84,0575;
241212;0700;72,2476;
241212;0800;58,45;
241212;0900;57,8875;
241212;1000;48,325;
241212;1100;42,465;
241212;1200;40,475;
241212;1300;34,145;
241212;1400;42,5125;
241212;1500;41,1125;
241212;1600;45,8;
241212;1700;50,225;
241212;1800;53,29;
241212;1900;56,8675;
241212;2000;58,995;
241212;2100;67,3051;
241212;2200;73,45;
241212;2300;76,3676;
241213;0000;78,9675;
241213;0100;87,2;
241213;0200;91,325;
241213;0300;93,825;
241213;0400;100;
241213;0500;100;
241213;0600;93,5;
241213;0700;81,865;
241213;0800;67,59;
241213;0900;53,74;
241213;1000;44,325;
241213;1100;42,725;
241213;1200;43,3525;
241213;1300;40,4575;
241213;1400;39,8025;
241213;1500;40,0025;
241213;1600;40,97;
241213;1700;43,82;
241213;1800;44,7375;
241213;1900;50,4725;
241213;2000;57,27;
241213;2100;59,6475;
241213;2200;66,6775;
241213;2300;70,1801;
241214;0000;63,01;
241214;0100;64,205;
241214;0200;69,3824;
241214;0300;69,275;
241214;0400;73,9675;
241214;0500;71,9875;
241214;0600;65,0375;
241214;0700;57,0025;
241214;0800;49,68;
241214;0900;44,895;
241214;1000;36,31;
241214;1100;35,215;
241214;1200;37,955;
241214;1300;29,3325;
241214;1400;28,0275;
241214;1500;28,6475;
241214;1600;31,67;
241214;1700;32,7925;
241214;1800;34,135;
241214;1900;39,65;
241214;2000;48,1625;
241214;2100;54,04;
241214;2200;59,6925;
241214;2300;64,9449;
241215;0000;71,5651;
241215;0100;76,1801;
241215;0200;81,1025;
241215;0300;88,15;
241215;0400;89,65;
241215;0500;91,4;
241215;0600;87,35;
241215;0700;79,9125;
241215;0800;70,77;
241215;0900;63,335;
241215;1000;59,555;
241215;1100;54,9975;
241215;1200;57,055;
241215;1300;56,2025;
241215;1400;56,665;
241215;1500;55,8825;
241215;1600;57,7;
241215;1700;62,2025;
241215;1800;68,5525;
241215;1900;79,26;
241215;2000;87,75;
241215;2100;87,7;
241215;2200;86,975;
241215;2300;85,6;
241216;0000;85,95;
241216;0100;86,55;
241216;0200;87,3;
241216;0300;86,45;
241216;0400;89,975;
241216;0500;90,775;
241216;0600;89,125;
241216;0700;79,9625;
241216;0800;71,1226;
241216;0900;68,725;
241216;1000;62,1075;
241216;1100;56,7275;
241216;1200;54,21;
241216;1300;54,7625;
241216;1400;58,0875;
241216;1500;63,125;
241216;1600;63,3925;
241216;1700;69,88;
241216;1800;71,905;
241216;1900;77,9425;
241216;2000;79,205;
241216;2100;78,9351;
241216;2200;80,75;
241216;2300;83,625;
241217;0000;86,725;
241217;0100;90,75;
241217;0200;90,95;
241217;0300;89,8;
241217;0400;86,275;
241217;0500;84,45;
241217;0600;81,7625;
241217;0700;78,7275;
241217;0800;73,1925;
241217;0900;69,3151;
241217;1000;63,365;
241217;1100;58,2825;
241217;1200;52,6925;
241217;1300;54,66;
241217;1400;51,58;
241217;1500;51,885;
241217;1600;51,6925;
241217;1700;52,035;
241217;1800;56,065;
241217;1900;61,855;
241217;2000;69,5725;
241217;2100;72,4725;
241217;2200;77,0074;
241217;2300;80,825;
241218;0000;78,7175;
241218;0100;85,6;
241218;0200;85,95;
241218;0300;87,3;
241218;0400;88,175;
241218;0500;87,325;
241218;0600;81,3925;
241218;0700;74,665;
241218;0800;65,5525;
241218;0900;55,51;
241218;1000;56,3925;
241218;1100;53,4275;
241218;1200;50,755;
241218;1300;47,67;
241218;1400;45,5725;
241218;1500;40,825;
241218;1600;36,855;
241218;1700;36,9575;
241218;1800;39,82;
241218;1900;46,5575;
241218;2000;53,3425;
241218;2100;55,4075;
241218;2200;59,94;
241218;2300;64,8575;
241219;0000;61,4825;
241219;0100;68,39;
241219;0200;77,7526;
241219;0300;79,4025;
241219;0400;82,725;
241219;0500;85,225;
241219;0600;76,415;
241219;0700;62,985;
241219;0800;59,22;
241219;0900;44,1375;
241219;1000;36,795;
241219;1100;35,715;
241219;1200;31,345;
241219;1300;31,985;
241219;1400;36,0825;
241219;1500;39,1925;
241219;1600;44,61;
241219;1700;48,195;
241219;1800;51,275;
241219;1900;55,665;
241219;2000;59,9225;
241219;2100;62,7275;
241219;2200;68,0425;
241219;2300;73,7574;
241220;0000;77,575;
241220;0100;81,275;
241220;0200;81,3;
241220;0300;81,975;
241220;0400;82,9;
241220;0500;82,2325;
241220;0600;74,13;
241220;0700;66,25;
241220;0800;58,2625;
241220;0900;52,49;
241220;1000;52,2625;
241220;1100;49,9075;
241220;1200;53,195;
241220;1300;45,7775;
241220;1400;47,065;
241220;1500;49,09;
241220;1600;48,4175;
241220;1700;51,98;
241220;1800;51,7475;
241220;1900;54,3375;
241220;2000;59,6725;
241220;2100;65,7;
241220;2200;68,2075;
241220;2300;71,9375;
241221;0000;71,2375;
241221;0100;73,5925;
241221;0200;77,8175;
241221;0300;86,875;
241221;0400;89,35;
241221;0500;95,825;
241221;0600;91,825;
241221;0700;75,8051;
241221;0800;56,945;
241221;0900;49,7425;
241221;1000;43,725;
241221;1100;39,6675;
241221;1200;38,65;
241221;1300;42,9975;
241221;1400;43,1625;
241221;1500;44,825;
241221;1600;46,12;
241221;1700;47,655;
241221;1800;47,0275;
241221;1900;47,8425;
241221;2000;56,5975;
241221;2100;65,8776;
241221;2200;69,2;
241221;2300;73,4625;
241222;0000;71,98;
241222;0100;74,02;
241222;0200;74,7375;
241222;0300;74,2;
241222;0400;77,6675;
241222;0500;77,1425;
241222;0600;73,9725;
241222;0700;61,165;
241222;0800;45,2025;
241222;0900;37,9975;
241222;1000;30,325;
241222;1100;28,0375;
241222;1200;29,45;
241222;1300;29,38;
241222;1400;28,3825;
241222;1500;29,4025;
241222;1600;26,6975;
241222;1700;24,965;
241222;1800;24,01;
241222;1900;30,4225;
241222;2000;46,2025;
241222;2100;53,7475;
241222;2200;60,03;
241222;2300;65;
241223;0000;70,5651;
241223;0100;72,7675;
241223;0200;80,105;
241223;0300;83,75;
241223;0400;85,65;
241223;0500;85,875;
241223;0600;79,26;
241223;0700;71,3575;
241223;0800;58,9325;
241223;0900;45,2675;
241223;1000;44,11;
241223;1100;44,655;
241223;1200;44,25;
241223;1300;40,58;
241223;1400;37,865;
241223;1500;37,9325;
241223;1600;40,4175;
241223;1700;39,7825;
