FECHA (YYMMDD);HORA (HHMM);Temperatura (°C);
241211;0100;11,31;
241211;0200;10,5425;
241211;0300;10,0225;
241211;0400;9,8;
241211;0500;9,47749;
241211;0600;10,8725;
241211;0700;12,9675;
241211;0800;15,985;
241211;0900;19,355;
241211;1000;21,9825;
241211;1100;23,455;
241211;1200;24,39;
241211;1300;24,85;
241211;1400;24,9725;
241211;1500;24,315;
241211;1600;23,7;
241211;1700;22,19;
241211;1800;20,58;
241211;1900;18,805;
241211;2000;16,43;
241211;2100;15,2475;
241211;2200;14,5125;
241211;2300;14,0025;
241212;0000;13,375;
241212;0100;12,9525;
241212;0200;12,37;
241212;0300;11,8625;
241212;0400;11,2375;
241212;0500;10,725;
241212;0600;12,2875;
241212;0700;14,16;
241212;0800;15,985;
241212;0900;17,335;
241212;1000;20,0525;
241212;1100;21,8175;
241212;1200;21,96;
241212;1300;23,9325;
241212;1400;22,065;
241212;1500;22,67;
241212;1600;22,0725;
241212;1700;21,035;
241212;1800;20,105;
241212;1900;18,8625;
241212;2000;17,62;
241212;2100;16,5925;
241212;2200;16,0275;
241212;2300;15,505;
241213;0000;14,8025;
241213;0100;13,995;
241213;0200;13,185;
241213;0300;12,52;
241213;0400;12,465;
241213;0500;12,1775;
241213;0600;13,2775;
241213;0700;15,1225;
241213;0800;16,9375;
241213;0900;19,6625;
241213;1000;22,4275;
241213;1100;23,9925;
241213;1200;23,89;
241213;1300;24,3125;
241213;1400;24,89;
241213;1500;25,205;
241213;1600;25,035;
241213;1700;23,8875;
241213;1800;23,05;
241213;1900;20,3025;
241213;2000;17,8175;
241213;2100;16,77;
241213;2200;15,985;
241213;2300;16,67;
241214;0000;17,5775;
241214;0100;16,9625;
241214;0200;15,9825;
241214;0300;15,245;
241214;0400;14,325;
241214;0500;13,8675;
241214;0600;14,9275;
241214;0700;16,0525;
241214;0800;18,04;
241214;0900;20,1125;
241214;1000;23,19;
241214;1100;25,1675;
241214;1200;25,7425;
241214;1300;28,1375;
241214;1400;28,775;
241214;1500;28,6225;
241214;1600;27,735;
241214;1700;26,775;
241214;1800;25,4075;
241214;1900;22,135;
241214;2000;19,17;
241214;2100;17,885;
241214;2200;16,75;
241214;2300;16,1525;
241215;0000;15,335;
241215;0100;14,6725;
241215;0200;13,99;
241215;0300;13,36;
241215;0400;13;
241215;0500;12,9633;
241215;0600;13,8225;
241215;0700;14,6175;
241215;0800;16,315;
241215;0900;18,2525;
241215;1000;19,2375;
241215;1100;20,2675;
241215;1200;20,36;
241215;1300;20,515;
241215;1400;20,2825;
241215;1500;20,4125;
241215;1600;20,2775;
241215;1700;19,44;
241215;1800;17,935;
241215;1900;16,025;
241215;2000;14,5025;
241215;2100;14,2325;
241215;2200;14,1475;
241215;2300;14,1275;
241216;0000;13,6975;
241216;0100;13,28;
241216;0200;13,0075;
241216;0300;12,9775;
241216;0400;13,02;
241216;0500;12,77;
241216;0600;13,15;
241216;0700;14,355;
241216;0800;16,03;
241216;0900;17,07;
241216;1000;18,7925;
241216;1100;20,0875;
241216;1200;20,44;
241216;1300;20,3325;
241216;1400;19,8425;
241216;1500;18,5375;
241216;1600;18,4525;
241216;1700;17,2675;
241216;1800;17,0525;
241216;1900;16,1475;
241216;2000;15,76;
241216;2100;15,6375;
241216;2200;15,15;
241216;2300;14,6225;
241217;0000;14,14;
241217;0100;13,6425;
241217;0200;13,4875;
241217;0300;13,5575;
241217;0400;14,0475;
241217;0500;14,215;
241217;0600;14,74;
241217;0700;15,7275;
241217;0800;16,5725;
241217;0900;17,575;
241217;1000;18,8825;
241217;1100;19,81;
241217;1200;21,25;
241217;1300;21,0225;
241217;1400;21,7;
241217;1500;21,425;
241217;1600;21,44;
241217;1700;21,4725;
241217;1800;20,205;
241217;1900;18,4975;
241217;2000;16,42;
241217;2100;15,695;
241217;2200;15,2875;
241217;2300;15,3375;
241218;0000;15,6375;
241218;0100;14,6525;
241218;0200;14,1025;
241218;0300;13,89;
241218;0400;13,1175;
241218;0500;12,665;
241218;0600;13,875;
241218;0700;15,3475;
241218;0800;17,625;
241218;0900;20,4025;
241218;1000;21,52;
241218;1100;22,9575;
241218;1200;23,6625;
241218;1300;23,84;
241218;1400;23,28;
241218;1500;23,265;
241218;1600;23,3525;
241218;1700;22,4575;
241218;1800;21,56;
