FECHA (YYMMDD);HORA (HHMM);Velocidad Viento (m/s);
241211;0100;0,795657;
241211;0200;0,481273;
241211;0300;1,04595;
241211;0400;1,58539;
241211;0500;1,22276;
241211;0600;1,47155;
241211;0700;1,41726;
241211;0800;1,56697;
241211;0900;2,32157;
241211;1000;2,72942;
241211;1100;1,65425;
241211;1200;2,16278;
241211;1300;2,58251;
241211;1400;3,23151;
241211;1500;3,98885;
241211;1600;4,11595;
241211;1700;3,87749;
241211;1800;3,73463;
241211;1900;0,243455;
241211;2000;0,866244;
241211;2100;1,11181;
241211;2200;1,24045;
241211;2300;0,275074;
241212;0000;0,333426;
241212;0100;0,675268;
241212;0200;0,747604;
241212;0300;0,77979;
241212;0400;1,21901;
241212;0500;1,14659;
241212;0600;0,502464;
241212;0700;0,296152;
241212;0800;0,686191;
241212;0900;1,51072;
241212;1000;1,38147;
241212;1100;1,62934;
241212;1200;3,36014;
241212;1300;2,40841;
241212;1400;5,3226;
241212;1500;3,61656;
241212;1600;3,99272;
241212;1700;5,05235;
241212;1800;4,15528;
241212;1900;1,87651;
241212;2000;0,825383;
241212;2100;2,66994;
241212;2200;2,21754;
241212;2300;0,933202;
241213;0000;1,21727;
241213;0100;0,875402;
241213;0200;0,868019;
241213;0300;0,968925;
241213;0400;1,33396;
241213;0500;1,30536;
241213;0600;1,61821;
241213;0700;1,82993;
241213;0800;1,86161;
241213;0900;1,47503;
241213;1000;1,21697;
241213;1100;1,45193;
241213;1200;2,65864;
241213;1300;2,79213;
241213;1400;2,46262;
241213;1500;2,58427;
241213;1600;2,47063;
241213;1700;2,39136;
241213;1800;1,56296;
241213;1900;0,659255;
241213;2000;1,88221;
241213;2100;1,36584;
241213;2200;0,518944;
241213;2300;1,56934;
241214;0000;1,86561;
241214;0100;1,83688;
241214;0200;1,80372;
241214;0300;1,77895;
241214;0400;1,62204;
241214;0500;1,93002;
241214;0600;1,64672;
241214;0700;2,06918;
241214;0800;1,653;
241214;0900;1,62057;
241214;1000;1,44366;
241214;1100;1,32294;
241214;1200;1,85402;
241214;1300;1,62453;
241214;1400;2,03869;
241214;1500;2,04593;
241214;1600;2,08691;
241214;1700;1,73595;
241214;1800;1,21491;
241214;1900;1,2765;
241214;2000;2,00925;
241214;2100;0,764095;
241214;2200;0,115194;
241214;2300;0,158457;
241215;0000;0,0748683;
241215;0100;0,0999999;
241215;0200;0,111173;
241215;0300;0,284859;
241215;0400;0,136763;
241215;0500;0,179971;
241215;0600;0,913667;
241215;0700;2,23939;
241215;0800;2,5276;
241215;0900;3,39367;
241215;1000;3,94454;
241215;1100;3,70972;
241215;1200;4,33515;
241215;1300;4,48771;
241215;1400;4,54567;
241215;1500;4,26281;
241215;1600;4,10427;
241215;1700;3,9332;
241215;1800;3,78764;
241215;1900;3,71006;
241215;2000;3,03756;
241215;2100;2,59181;
241215;2200;1,99979;
241215;2300;1,61647;
