FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150224;0000;;18,9427;;
150225;0000;;20,36;;
150226;0000;;20,2125;;
150227;0000;;22,6834;;
150228;0000;;21,8253;;
150301;0000;;22,1712;;
150302;0000;;21,2028;;
150303;0000;;20,2548;;
150304;0000;;19,7278;;
150305;0000;;17,9998;;
150306;0000;;17,3162;;
150307;0000;;18,2245;;
150308;0000;;16,9454;;
150309;0000;;17,2791;;
150310;0000;;18,9327;;
150311;0000;;18,8129;;
150312;0000;;19,2216;;
150313;0000;;19,6736;;
150314;0000;;17,7867;;
150315;0000;;19,5276;;
150316;0000;;19,8864;;
150317;0000;;17,8899;;
150318;0000;;18,874;;
150319;0000;;19,1191;;
150320;0000;;20,3884;;
150321;0000;;17,6824;;
150322;0000;;23,1863;;
150323;0000;;21,8849;;
150324;0000;;21,2136;;
150325;0000;;21,2607;;
150326;0000;;20,8362;;
150327;0000;;20,317;;
150328;0000;;18,1996;;
150329;0000;;17,2078;;
150330;0000;;16,4741;;
150331;0000;;18,0544;;
150401;0000;;18,7465;;
150402;0000;;18,3488;;
150403;0000;;17,5824;;
150404;0000;;18,5605;;
150405;0000;;16,2229;;
150406;0000;;16,2789;;
150407;0000;;17,3762;;
150408;0000;;17,179;;
150409;0000;;17,6805;;
150410;0000;;17,032;;
150411;0000;;18,9818;;
150412;0000;;16,7844;;
150413;0000;;;;
150414;0000;;;;
150415;0000;;;;
150416;0000;;;;
150417;0000;;;;
150418;0000;;;;
150419;0000;;;;
150420;0000;;;;
150421;0000;;;;
150422;0000;;;;
150423;0000;;;;
150424;0000;;;;
150425;0000;;;;
150426;0000;;;;
150427;0000;;;;
150428;0000;;;;
150429;0000;;;;
150430;0000;;;;
150501;0000;;;;
150502;0000;;;;
150503;0000;;;;
150504;0000;;;;
150505;0000;;;;
150506;0000;;;;
150507;0000;;;;
150508;0000;;;;
150509;0000;;;;
150510;0000;;;;
150511;0000;;;;
150512;0000;;;;
150513;0000;;;;
150514;0000;;;;
150515;0000;;;;
150516;0000;;;;
150517;0000;;;;
150518;0000;;;;
150519;0000;;;;
150520;0000;;;;
150521;0000;;;;
150522;0000;;;;
150523;0000;;;;
150524;0000;;;;
150525;0000;;;;
150526;0000;;;;
150527;0000;;;;
150528;0000;;;;
150529;0000;;;;
150530;0000;;;;
150531;0000;;;;
150601;0000;;;;
150602;0000;;;;
150603;0000;;;;
150604;0000;;;;
150605;0000;;;;
150606;0000;;;;
150607;0000;;;;
150608;0000;;;;
150609;0000;;;;
150610;0000;;;;
150611;0000;;;;
150612;0000;;;;
150613;0000;;;;
150614;0000;;;;
150615;0000;;;;
150616;0000;;;;
150617;0000;;;;
150618;0000;;;;
150619;0000;;;;
150620;0000;;;;
150621;0000;;;;
150622;0000;;;;
150623;0000;;;;
150624;0000;;;;
150625;0000;;;;
150626;0000;;;;
150627;0000;;;;
150628;0000;;;;
150629;0000;;;;
150630;0000;;;;
150701;0000;;;;
150702;0000;;;;
150703;0000;;;;
150704;0000;;;;
150705;0000;;;;
150706;0000;;;;
