FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
141031;0000;;;5,11153;
141101;0000;;;5,92847;
141102;0000;;;2,81424;
141103;0000;;;3,06391;
141104;0000;;;7,80601;
141105;0000;;;6,086;
141106;0000;;;3,7331;
141107;0000;;;4,93968;
141108;0000;;;5,33371;
141109;0000;;;3,41792;
141110;0000;;;3,1542;
141111;0000;;;2,96273;
141112;0000;;;4,0602;
141113;0000;;;5,58772;
141114;0000;;;3,04447;
141115;0000;;;3,03185;
141116;0000;;;8,32823;
141117;0000;;;4,68947;
141118;0000;;;3,06341;
141119;0000;;;2,74792;
141120;0000;;;4,32926;
141121;0000;;;5,15927;
141122;0000;;;6,25063;
141123;0000;;;3,55492;
141124;0000;;;2,461;
141125;0000;;;3,49292;
141126;0000;;;5,26546;
141127;0000;;;5,36089;
141128;0000;;;3,84686;
141129;0000;;;6,0516;
141130;0000;;;2,64586;
141201;0000;;;5,93288;
141202;0000;;;4,2823;
141203;0000;;;7,85226;
141204;0000;;;2,72886;
141205;0000;;;2,18195;
141206;0000;;;1,99455;
141207;0000;;;4,3869;
141208;0000;;;2,1307;
141209;0000;;;2,48192;
141210;0000;;;2,47977;
141211;0000;;;5,11176;
141212;0000;;;3,6671;
141213;0000;;;4,45592;
141214;0000;;;2,89524;
141215;0000;;;3,12698;
141216;0000;;;4,4884;
141217;0000;;;5,37504;
141218;0000;;;3,46967;
141219;0000;;;2,61101;
141220;0000;;;4,65345;
141221;0000;;;2,04128;
141222;0000;;;3,20222;
141223;0000;;;5,90399;
141224;0000;;;5,85051;
141225;0000;;;2,77033;
141226;0000;;;4,54485;
141227;0000;;;4,04803;
141228;0000;;;2,75499;
141229;0000;;;3,06475;
141230;0000;;;2,48467;
141231;0000;;;2,92002;
150101;0000;;;2,87926;
150102;0000;;;4,09869;
150103;0000;;;3,82278;
150104;0000;;;4,8188;
150105;0000;;;4,8753;
150106;0000;;;2,44081;
150107;0000;;;2,58554;
150108;0000;;;3,87868;
150109;0000;;;4,21353;
150110;0000;;;2,65664;
150111;0000;;;3,04511;
150112;0000;;;5,76945;
150113;0000;;;4,28607;
150114;0000;;;5,70831;
150115;0000;;;4,10581;
150116;0000;;;4,92978;
150117;0000;;;5,72339;
150118;0000;;;4,08031;
150119;0000;;;3,19576;
150120;0000;;;3,22552;
150121;0000;;;2,55312;
150122;0000;;;3,23143;
150123;0000;;;4,5835;
150124;0000;;;5,79706;
150125;0000;;;4,49944;
150126;0000;;;3,15391;
150127;0000;;;3,6964;
150128;0000;;;4,62933;
150129;0000;;;4,3068;
150130;0000;;;3,13485;
150131;0000;;;3,92857;
150201;0000;;;3,51632;
150202;0000;;;2,74172;
150203;0000;;;2,77537;
150204;0000;;;2,89667;
150205;0000;;;3,69715;
150206;0000;;;3,67743;
150207;0000;;;2,77802;
150208;0000;;;2,85275;
150209;0000;;;5,08192;
150210;0000;;;4,53331;
150211;0000;;;3,97113;
150212;0000;;;6,68199;
150213;0000;;;4,13615;
150214;0000;;;4,82748;
150215;0000;;;7,39449;
150216;0000;;;4,13963;
150217;0000;;;6,47485;
150218;0000;;;5,86119;
150219;0000;;;5,63882;
150220;0000;;;6,82398;
150221;0000;;;6,66301;
150222;0000;;;6,47916;
150223;0000;;;4,95808;
150224;0000;;;3,17941;
150225;0000;;;6,92701;
150226;0000;;;4,16328;
150227;0000;;;8,57066;
150228;0000;;;6,49091;
150301;0000;;;4,66286;
150302;0000;;;5,82174;
150303;0000;;;5,94006;
150304;0000;;;7,01332;
150305;0000;;;4,46095;
150306;0000;;;3,89336;
150307;0000;;;3,22585;
150308;0000;;;4,40516;
150309;0000;;;4,89847;
150310;0000;;;5,24232;
150311;0000;;;5,91626;
150312;0000;;;7,33724;
150313;0000;;;7,9594;
150314;0000;;;8,4225;
150315;0000;;;7,94742;
150316;0000;;;9,72989;
150317;0000;;;7,2166;
150318;0000;;;3,3597;
150319;0000;;;6,28722;
150320;0000;;;6,62607;
150321;0000;;;5,8072;
150322;0000;;;5,40755;
150323;0000;;;6,66905;
150324;0000;;;9,26993;
150325;0000;;;7,2984;
150326;0000;;;7,08779;
150327;0000;;;8,57553;
150328;0000;;;9,02583;
150329;0000;;;5,42903;
150330;0000;;;7,24256;
150331;0000;;;9,51363;
150401;0000;;;7,4882;
150402;0000;;;8,39302;
150403;0000;;;6,58006;
150404;0000;;;4,57516;
150405;0000;;;8,03444;
150406;0000;;;6,12478;
150407;0000;;;8,99303;
150408;0000;;;;
150409;0000;;;6,38129;
150410;0000;;;10,3421;
150411;0000;;;7,71581;
150412;0000;;;9,01237;
150413;0000;;;6,30148;
150414;0000;;;8,93581;
150415;0000;;;9,65919;
150416;0000;;;6,83453;
150417;0000;;;11,3296;
150418;0000;;;14,5134;
150419;0000;;;11,1457;
150420;0000;;;12,2098;
150421;0000;;;14,5889;
150422;0000;;;13,715;
150423;0000;;;14,9617;
150424;0000;;;12,3748;
150425;0000;;;9,95012;
150426;0000;;;12,0729;
150427;0000;;;11,3929;
150428;0000;;;16,779;
150429;0000;;;12,5663;
150430;0000;;;10,3948;
150501;0000;;;9,15874;
150502;0000;;;6,19598;
150503;0000;;;7,68704;
150504;0000;;;9,42638;
150505;0000;;;13,9617;
150506;0000;;;16,0911;
150507;0000;;;11,4528;
150508;0000;;;12,6579;
150509;0000;;;9,23125;
150510;0000;;;9,23456;
150511;0000;;;11,0092;
150512;0000;;;11,212;
150513;0000;;;11,0883;
150514;0000;;;13,495;
150515;0000;;;14,3916;
150516;0000;;;15,2353;
150517;0000;;;11,9018;
150518;0000;;;12,4782;
150519;0000;;;13,8227;
150520;0000;;;9,85771;
150521;0000;;;9,02147;
150522;0000;;;7,46134;
150523;0000;;;5,69499;
150524;0000;;;9,92345;
150525;0000;;;11,5442;
150526;0000;;;11,5457;
150527;0000;;;10,1619;
150528;0000;;;10,0988;
150529;0000;;;7,1741;
150530;0000;;;6,61996;
150531;0000;;;8,81001;
150601;0000;;;11,6718;
150602;0000;;;12,0752;
150603;0000;;;;
150604;0000;;;16,2735;
150605;0000;;;15,8467;
150606;0000;;;12,3031;
150607;0000;;;7,5145;
150608;0000;;;14,1556;
150609;0000;;;10,7317;
150610;0000;;;5,72763;
150611;0000;;;8,54793;
150612;0000;;;15,1215;
150613;0000;;;9,46526;
150614;0000;;;6,33864;
150615;0000;;;11,029;
150616;0000;;;13,5978;
150617;0000;;;18,7616;
150618;0000;;;18,6623;
150619;0000;;;17,0638;
150620;0000;;;16,4052;
150621;0000;;;14,3614;
150622;0000;;;11,0237;
150623;0000;;;13,8585;
150624;0000;;;11,0323;
150625;0000;;;13,5182;
150626;0000;;;13,1209;
150627;0000;;;16,0895;
150628;0000;;;14,5116;
150629;0000;;;13,7097;
150630;0000;;;16,8542;
150701;0000;;;15,4079;
150702;0000;;;13,0344;
150703;0000;;;17,4766;
150704;0000;;;10,3523;
150705;0000;;;14,6263;
150706;0000;;;11,1227;
150707;0000;;;12,9225;
150708;0000;;;15,6569;
150709;0000;;;15,1092;
150710;0000;;;10,9334;
150711;0000;;;11,7219;
150712;0000;;;5,73473;
150713;0000;;;7,58138;
150714;0000;;;10,4701;
150715;0000;;;14,8069;
150716;0000;;;13,717;
150717;0000;;;14,4422;
150718;0000;;;12,2641;
150719;0000;;;5,50275;
150720;0000;;;9,72144;
150721;0000;;;13,4472;
150722;0000;;;16,8215;
150723;0000;;;15,5385;
150724;0000;;;14,3736;
150725;0000;;;15,2672;
150726;0000;;;13,7443;
150727;0000;;;8,60336;
150728;0000;;;8,39493;
150729;0000;;;15,1044;
150730;0000;;;12,6131;
150731;0000;;;12,3324;
150801;0000;;;11,8415;
