FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
141031;0000;;;21,6162;
141101;0000;;;19,7644;
141102;0000;;;23,132;
141103;0000;;;21,962;
141104;0000;;;18,695;
141105;0000;;;18,8661;
141106;0000;;;19,2205;
141107;0000;;;17,5522;
141108;0000;;;18,3799;
141109;0000;;;19,2701;
141110;0000;;;16,9108;
141111;0000;;;19,1048;
141112;0000;;;20,6457;
141113;0000;;;21,3329;
141114;0000;;;23,9048;
141115;0000;;;22,8985;
141116;0000;;;16,148;
141117;0000;;;16,0984;
141118;0000;;;19,0724;
141119;0000;;;20,2916;
141120;0000;;;19,2112;
141121;0000;;;16,4033;
141122;0000;;;14,8246;
141123;0000;;;14,662;
141124;0000;;;16,9938;
141125;0000;;;18,9392;
141126;0000;;;18,0388;
141127;0000;;;16,4324;
141128;0000;;;14,5383;
141129;0000;;;12,1345;
141130;0000;;;21,0518;
141201;0000;;;15,2714;
141202;0000;;;14,241;
141203;0000;;;12,6178;
141204;0000;;;18,7974;
141205;0000;;;19,3773;
141206;0000;;;15,3938;
141207;0000;;;13,1744;
141208;0000;;;13,0425;
141209;0000;;;16,2663;
141210;0000;;;16,4724;
141211;0000;;;13,7134;
141212;0000;;;15,924;
141213;0000;;;15,5984;
141214;0000;;;21,4347;
141215;0000;;;16,3002;
141216;0000;;;13,8181;
141217;0000;;;13,8936;
141218;0000;;;16,079;
141219;0000;;;13,9086;
141220;0000;;;10,4957;
141221;0000;;;18,2946;
141222;0000;;;19,2108;
141223;0000;;;16,7944;
141224;0000;;;14,0943;
141225;0000;;;12,1303;
141226;0000;;;12,0945;
141227;0000;;;7,89841;
141228;0000;;;7,53664;
141229;0000;;;9,60236;
141230;0000;;;10,884;
141231;0000;;;12,4418;
150101;0000;;;15,8858;
150102;0000;;;13,6537;
150103;0000;;;13,8876;
150104;0000;;;14,0001;
150105;0000;;;14,5868;
150106;0000;;;18,6175;
150107;0000;;;19,4055;
150108;0000;;;18,0702;
150109;0000;;;18,2879;
150110;0000;;;15,9047;
150111;0000;;;19,6696;
150112;0000;;;19,4629;
150113;0000;;;16,2701;
150114;0000;;;13,6983;
150115;0000;;;14,5272;
150116;0000;;;16,679;
150117;0000;;;17,4781;
150118;0000;;;20,2968;
150119;0000;;;18,6104;
150120;0000;;;18,6642;
150121;0000;;;19,7425;
150122;0000;;;17,3483;
150123;0000;;;16,0501;
150124;0000;;;11,0915;
150125;0000;;;9,85362;
150126;0000;;;10,873;
150127;0000;;;11,6456;
150128;0000;;;16,0714;
150129;0000;;;16,6301;
150130;0000;;;17,1191;
