fecha_hora,pm25,pm10,so2,co,no2,o3,viento_ms
2016-02-01,11.3639,49.4767,0.0763097,0.0763097,2.62036,6.77202,1.47277
2016-02-02,17.1773,50.3477,0.161685,0.161685,2.23645,9.22595,2.10613
2016-02-03,16.1939,41.5487,0.369947,0.369947,2.86062,10.7028,3.41691
2016-02-04,13.5039,66.9998,0.31645,0.31645,2.30634,10.2115,1.31098
2016-02-05,14.3462,62.6202,0.33614,0.33614,1.9246,10.9438,1.50804
2016-02-06,16.0512,59.256,0.372378,0.372378,4.87751,8.24663,1.90151
2016-02-07,24.0559,50.8417,0.362702,0.362702,4.59017,8.05151,1.22225
2016-02-08,10.719,42.6485,0.343271,0.343271,3.3308,9.1523,1.96978
2016-02-09,15.1062,46.4561,0.350317,0.350317,5.42458,8.89449,2.14635
2016-02-10,8.09348,36.9457,0.364986,0.364986,3.99273,9.33969,2.23041
2016-02-11,11.021,37.5464,0.378764,0.378764,5.67577,9.74144,0.825033
2016-02-12,8.59485,42.8213,0.340314,0.340314,3.79234,9.57372,1.9933
2016-02-13,19.7707,56.6594,0.369809,0.369809,5.7152,7.78877,2.79036
2016-02-14,17.6082,70.066,0.359174,0.359174,5.10347,10.1218,3.2902
2016-02-15,17.4989,55.1501,0.348557,0.348557,6.27109,9.47443,0.467724
2016-02-16,10.9333,37.3057,0.339652,0.339652,4.42451,9.50665,0.952982
2016-02-17,12.2261,39.7314,0.379823,0.379823,6.05032,6.42989,1.98758
2016-02-18,15.7822,50.546,0.37145,0.37145,5.72374,4.72723,1.61045
2016-02-19,18.0897,69.0756,0.397099,0.397099,5.38844,10.4253,2.20301
2016-02-20,24.5988,83.9387,0.412624,0.412624,6.90627,9.30153,0.718496
2016-02-21,13.5339,56.1626,0.401379,0.401379,5.52724,7.95654,1.47918
2016-02-22,10.491,39.934,0.352625,0.352625,4.61348,7.24834,2.57467
2016-02-23,15.4292,43.2809,0.385841,0.385841,6.24951,5.66062,0.109882
2016-02-24,12.8038,39.7148,0.354198,0.354198,6.69675,9.06503,0.571549
2016-02-25,16.1551,60.1246,0.263686,0.263686,7.62326,9.83095,1.39991
2016-02-26,10.5372,44.6221,0.248945,0.248945,6.37749,10.4718,3.74969
2016-02-27,20.5125,60.1341,0.284478,0.284478,8.67668,11.0069,0.852637
2016-02-28,21.7118,58.6422,0.292683,0.292683,8.57236,9.17142,0.685678
2016-02-29,10.7286,40.2674,0.242187,0.242187,5.60267,8.7291,2.02491
2016-03-01,17.5092,50.1409,0.289314,0.289314,8.06786,9.17397,1.60086
2016-03-02,15.3681,47.582,0.331271,0.331271,7.92066,12.0496,1.38689
2016-03-03,16.4144,44.6534,0.317782,0.317782,4.96732,14.6281,2.44506
2016-03-04,17.5465,53.1926,0.338973,0.338973,6.63194,13.5712,0.56762
2016-03-05,17.9987,57.1915,0.342229,0.342229,6.15857,15.4601,0.615043
2016-03-06,17.7735,47.3499,0.315461,0.315461,5.23762,14.9926,1.41569
2016-03-07,8.41591,41.698,0.299678,0.299678,3.82936,12.4532,2.27758
2016-03-08,12.6183,43.3514,0.336434,0.336434,7.09413,12.1803,1.01665
2016-03-09,16.8259,46.2524,0.348356,0.348356,7.9817,11.0952,0.813122
2016-03-10,8.29794,35.974,0.293916,0.293916,4.41925,12.4273,1.31603
2016-03-11,15.7414,35.039,0.32547,0.32547,6.14537,13.4493,0.936238
2016-03-12,9.94852,29.245,0.317391,0.317391,5.58254,15.749,0.791043
2016-03-13,16.9333,42.1528,0.333199,0.333199,7.64877,13.49,0.4611
2016-03-14,14.561,35.8137,0.314026,0.314026,7.53481,13.796,0.840974
2016-03-15,18.475,43.6072,0.34689,0.34689,6.95245,15.9119,0.365909
2016-03-16,18.4727,42.573,0.403359,0.403359,5.46276,19.2995,1.26218
2016-03-17,10.0479,38.4927,0.364689,0.364689,6.29243,17.1392,0.200898
2016-03-18,21.012,55.2823,0.360709,0.360709,7.99907,10.7523,1.29004
2016-03-19,20.3887,67.515,0.354947,0.354947,9.722,9.94614,2.18111
2016-03-20,18.8904,67.1477,0.351033,0.351033,7.66625,16.2535,0.177404
2016-03-21,19.9337,58.0734,0.351891,0.351891,5.07318,21.1962,2.0242
2016-03-22,31.2953,60.9275,0.418013,0.418013,11.2951,16.6878,0.175323
2016-03-23,27.1756,55.9807,0.436897,0.436897,8.00174,23.8027,1.63138
2016-03-25,28.0389,62.9503,0.446958,0.446958,7.60206,17.4818,0.756243
2016-03-26,26.2715,63.5894,0.469079,0.469079,6.87598,24.5739,1.46549
2016-03-27,27.8894,68.3427,0.424904,0.424904,4.60435,25.7851,0.824034
2016-03-28,21.1682,48.6146,0.380312,0.380312,4.45554,18.3025,0.898623
2016-03-29,14.7953,51.5896,0.403282,0.403282,7.50134,13.5472,0.793149
2016-03-30,14.8485,51.957,0.367386,0.367386,6.23599,16.2837,1.20159
2016-03-31,15.7871,53.7407,0.355997,0.355997,8.02208,12.2318,1.5698
2016-04-01,15.3261,51.075,0.400036,0.400036,8.60025,13.9309,0.786567
2016-04-02,11.6938,41.3812,0.324192,0.324192,5.05666,17.4119,0.691214
2016-04-03,5.14446,26.0718,0.287802,0.287802,4.04984,16.6134,1.74265
2016-04-04,10.564,39.9463,0.309588,0.309588,6.7578,16.9542,1.99912
2016-04-05,20.0837,60.9034,0.376818,0.376818,10.3239,11.7199,1.27506
2016-04-06,8.33029,29.3206,0.334956,0.334956,6.28812,15.5492,0.768398
2016-04-07,29.0078,71.4529,0.303064,0.303064,8.90161,9.53694,0.984068
2016-04-08,15.3934,52.783,0.280231,0.280231,6.07227,12.4716,1.7011
2016-04-09,10.9961,60.1225,0.2632,0.2632,4.41526,19.3392,2.47967
2016-04-10,24.8286,72.5323,0.341588,0.341588,6.2299,18.7738,2.75379
